Series Name,Series Code,Region,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Curacao,CUW,72.25039024,73.03395122,77.82682927,77.97560976,78.07560976,77.7195122,78.01707317,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Cyprus,CYP,73.539,76.568,80.402,80.771,80.966,81.056,81.328,81.382,81.397,81.391,81.203,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Czechia,CZE,71.38390244,74.96829268,78.17560976,78.82439024,78.57804878,79.02682927,78.97804878,79.02926829,79.22926829,78.22682927,77.37317073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Denmark,DNK,74.80536585,76.59268293,80.3,80.7,80.70243902,80.85365854,81.10243902,80.95365854,81.45121951,81.60243902,81.40487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Djibouti,DJI,55.498,56.573,61.221,61.641,61.957,62.191,62.797,63.038,63.085,62.694,62.305,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Dominica,DMA,69.852,72.693,68.896,69.434,68.727,70.128,67.525,73.59,73.559,73.649,72.814,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Dominican Republic,DOM,67.11,69.423,72.713,72.867,72.953,72.987,73.063,73.232,73.577,72.889,72.615,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,Ecuador,ECU,69.348,72.839,76.369,76.622,76.789,76.763,76.972,77.094,77.297,72.153,73.67,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,"Egypt, Arab Rep.",EGY,64.146,68.007,70.052,70.415,70.483,70.844,71.302,71.367,71.358,70.99,70.221,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,El Salvador,SLV,62.55,69.865,71.771,71.746,71.814,72.025,72.311,72.555,72.559,71.061,70.748,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Equatorial Guinea,GNQ,50.86,53.226,59.224,59.595,60.103,60.479,60.821,61.191,61.644,60.708,60.594,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Eritrea,ERI,49.769,56.111,65.067,65.6,66.033,66.289,66.577,67.067,67.3,67.133,66.536,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Estonia,EST,69.47560976,70.41707317,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244,78.64634146,78.59512195,76.74146341,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Eswatini,SWZ,63.072,47.256,51.486,53.05,55.019,56.659,57.895,59.411,60.549,59.692,57.066,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Ethiopia,ETH,44.557,50.538,62.373,62.905,63.649,64.392,64.838,65.412,65.838,65.371,64.975,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Faroe Islands,FRO,76.11463415,78.43658537,81.44146341,81.59268293,81.79268293,82.04390244,82.34390244,82.59512195,82.94634146,83.19756098,83.49756098,..
